unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1732210392192,2.493376,1.679733,-0.001410117,-0.986795,0.1618207,0.007056296,-0.008547306,-0.006526709,-0.004370185,2.204691,1.252521,-0.2923982,-0.9092541,-0.05711425,-0.412305,-0.01128316,-0.01257956,0.002156943,2.200042,1.163783,0.2191888,-0.90115,-0.4260666,0.07997483,-0.005668402,-0.01750588,0.005476177,0
1732210392199,2.493376,1.679733,-0.001410117,-0.986795,0.1618207,0.007056296,0,0,0,2.204691,1.252521,-0.2923982,-0.9092541,-0.05711425,-0.412305,0,0,0,2.200042,1.163783,0.2191888,-0.90115,-0.4260666,0.07997483,0,0,0,0
1732210392219,2.49317,1.679576,-0.001504892,-0.9871014,0.1599598,0.006646276,-0.01541376,-0.01176596,-0.007108063,2.204412,1.252279,-0.2922843,-0.9095971,-0.05729233,-0.4115226,-0.02095699,-0.01815856,0.008542836,2.199918,1.163407,0.2196146,-0.9005,-0.4269353,0.08262181,-0.009298325,-0.02819002,0.0319384,0
1732210392227,2.49317,1.679576,-0.001504892,-0.9871014,0.1599598,0.006646276,0,0,0,2.204412,1.252279,-0.2922843,-0.9095971,-0.05729233,-0.4115226,0,0,0,2.199918,1.163407,0.2196146,-0.9005,-0.4269353,0.08262181,0,0,0,0
1732210392247,2.492965,1.67942,-0.001576926,-0.9875049,0.1574727,0.00609076,-0.01541376,-0.01174808,-0.005402556,2.204111,1.252179,-0.2920246,-0.9102696,-0.05693733,-0.4100825,-0.02256632,-0.007456541,0.01948178,2.199793,1.163163,0.2202371,-0.9002177,-0.4270428,0.08510631,-0.009405613,-0.01830161,0.04668385,0
1732210392254,2.492965,1.67942,-0.001576926,-0.9875049,0.1574727,0.00609076,0,0,0,2.204111,1.252179,-0.2920246,-0.9102696,-0.05693733,-0.4100825,0,0,0,2.199793,1.163163,0.2202371,-0.9002177,-0.4270428,0.08510631,0,0,0,0
1732210392260,2.492965,1.67942,-0.001576926,-0.9875049,0.1574727,0.00609076,0,0,0,2.204111,1.252179,-0.2920246,-0.9102696,-0.05693733,-0.4100825,0,0,0,2.199793,1.163163,0.2202371,-0.9002177,-0.4270428,0.08510631,0,0,0,0
1732210392274,2.492732,1.67924,-0.00161066,-0.9878306,0.1554097,0.006233394,-0.017488,-0.01346469,-0.002530112,2.203768,1.252031,-0.2916913,-0.9107592,-0.05692516,-0.4089959,-0.02571344,-0.01111329,0.02499372,2.19964,1.16284,0.2209972,-0.8995904,-0.4277844,0.08796561,-0.01147985,-0.02425611,0.05701035,0
1732210392281,2.492732,1.67924,-0.00161066,-0.9878306,0.1554097,0.006233394,0,0,0,2.203768,1.252031,-0.2916913,-0.9107592,-0.05692516,-0.4089959,0,0,0,2.19964,1.16284,0.2209972,-0.8995904,-0.4277844,0.08796561,0,0,0,0
1732210392302,2.49259,1.679132,-0.001605966,-0.9881744,0.1532203,0.005924165,-0.01063943,-0.008136034,0.0003520749,2.203585,1.251851,-0.2915734,-0.9109003,-0.05728301,-0.4086318,-0.01371503,-0.01353621,0.008840114,2.199568,1.162573,0.2214803,-0.899057,-0.4285599,0.08962822,-0.005364418,-0.02001822,0.0362277,0
