,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,unix_ms,rel_unix_ms,trial_ms
14,2024-11-24 12:43:28.844,0.779396943487292,0.027577577234421,0.2829457311548222,1.870220543009762,0.3565913280295037,-0.3623677271047093,0.2613529965121814,1.731964636338561,0.3199218696066731,-0.1246777835415565,0.3045318273370767,1.42596387463475,0.5467511366308926,0.0558108164654419,0.0992007339668661,1.00617648313623,0.6009303798030462,-0.3541353228161991,-0.4181777973158642,0.5057723262610202,775.6410256410256,804.6520146520147,791.7582417582418,745.8241758241759,859.4505494505495,-0.229004,0.140076,0.968994,-0.336456,-12.927399,-5.50293,1.0,2.0,1.0,1.0,2.0,65.0,,1732470208844,4504,0
15,2024-11-24 12:43:29.340,0.779396943487292,-0.0573375065026178,0.1956485874574721,1.870220543009762,0.3565913280295037,-0.3782820000726165,0.2495834019658607,1.731964636338561,0.3199218696066731,-0.1713226965506928,0.3751618293167505,1.42596387463475,0.5467511366308926,0.0460411151471546,0.008266067252014,1.00617648313623,0.6009303798030462,-0.3274502015653414,-0.3913792654612162,0.5057723262610202,785.7142857142858,802.6373626373627,803.040293040293,1083.882783882784,605.6043956043957,-0.206421,0.171265,0.943054,-0.5159,2.093506,2.729034,1.0,2.0,1.0,1.0,2.0,65.0,,1732470209340,5000,496
17,2024-11-24 12:43:29.843,0.779396943487292,-0.1187368360645361,0.2671672228348917,1.870220543009762,0.3565913280295037,-0.2192643200295749,0.3853755315613299,1.731964636338561,0.3199218696066731,-0.0491790523197294,0.451793496787693,1.42596387463475,0.5467511366308926,0.0116359933972611,-0.0204378005521031,1.00617648313623,0.6009303798030462,-0.2874867125606046,-0.4443199376781081,0.5057723262610202,792.5641025641025,804.6520146520147,796.5934065934066,911.0256410256412,775.6410256410256,-0.150818,0.078979,0.978943,5.158997,0.994415,1.031799,1.0,2.0,1.0,1.0,2.0,65.0,,1732470209843,5503,999
20,2024-11-24 12:43:30.339,0.779396943487292,-0.067120758051098,0.3648956124084598,1.870220543009762,0.3565913280295037,0.1103732573412712,0.42693451502088,1.731964636338561,0.3199218696066731,0.3336118330673521,0.4374211163383951,1.42596387463475,0.5467511366308926,0.0505031923189285,-0.0523676539145974,1.00617648313623,0.6009303798030462,-0.2885202028871763,-0.4785544262705118,0.5057723262610202,776.4468864468864,795.3846153846154,822.3809523809524,917.4725274725276,551.2087912087912,-0.124756,0.192139,1.173096,1.009369,0.553284,-1.07666,1.0,2.0,1.0,1.0,2.0,65.0,,1732470210339,5999,1495
23,2024-11-24 12:43:30.840,0.779396943487292,0.6774737571787692,0.6202944645758461,1.870220543009762,0.3565913280295037,0.6656086761236842,0.4659292691566023,1.731964636338561,0.3199218696066731,0.6549991246343595,0.4191189370564743,1.42596387463475,0.5467511366308926,0.0606877696891377,-0.0122977111792256,1.00617648313623,0.6009303798030462,-0.3564439046983383,-0.4851099537233471,0.5057723262610202,872.7472527472528,799.0109890109891,794.1758241758242,803.040293040293,678.9377289377289,-0.169495,0.227173,0.940979,0.800018,-5.353394,6.676788,1.0,2.0,1.0,1.0,4.0,65.0,,1732470210840,6500,1996
25,2024-11-24 12:43:31.342,0.779396943487292,0.9320882172566246,0.6890087075514058,1.870220543009762,0.3565913280295037,0.8429386259840085,0.5021382710495739,1.731964636338561,0.3199218696066731,0.6600497168294727,0.2619327088306162,1.42596387463475,0.5467511366308926,0.0824753670613195,0.0085615272362934,1.00617648313623,0.6009303798030462,-0.2050672200653186,-0.3559050621638187,0.5057723262610202,744.2124542124542,788.1318681318681,791.3553113553114,830.8424908424909,1169.70695970696,-0.21106,0.091187,0.908142,3.058014,-3.588867,-0.179443,1.0,2.0,1.0,1.0,4.0,65.0,,1732470211342,7002,2498
28,2024-11-24 12:43:31.840,0.779396943487292,1.090777995848982,0.824370110178943,1.870220543009762,0.3565913280295037,0.9635876252048878,0.6270281235405814,1.731964636338561,0.3199218696066731,0.6593906361566259,0.2618782286055561,1.42596387463475,0.5467511366308926,0.0625634371925111,0.0854494213404944,1.00617648313623,0.6009303798030462,-0.0875591787022651,-0.1858088077332136,0.5057723262610202,935.2014652014652,794.5787545787546,812.3076923076924,1013.772893772894,880.0,-0.123474,0.168213,1.092285,4.28421,-5.039368,-0.433655,1.0,2.0,1.0,1.0,4.0,65.0,,1732470211840,7500,2996
31,2024-11-24 12:43:32.346,0.779396943487292,1.090453344760808,0.9201258609864814,1.870220543009762,0.3565913280295037,0.9015964046322016,0.6905294541996073,1.731964636338561,0.3199218696066731,0.5129761776974177,0.1694283201016648,1.42596387463475,0.5467511366308926,0.0901463356513563,0.0890336517275096,1.00617648313623,0.6009303798030462,0.0928404271376441,-0.1456142400611788,0.5057723262610202,760.3296703296703,799.0109890109891,800.2197802197802,627.7655677655678,612.0512820512821,-0.164368,0.20636,1.13623,4.351501,-0.598145,6.362762,1.0,2.0,1.0,1.0,4.0,65.0,,1732470212346,8006,3502
33,2024-11-24 12:43:32.842,0.779396943487292,0.93462746164624,1.109789015150911,1.870220543009762,0.3565913280295037,0.7395370274303362,0.7560093088529376,1.731964636338561,0.3199218696066731,0.2807729210314507,0.5488291329649477,1.42596387463475,0.5467511366308926,0.1194135886979903,0.1049153827931993,1.00617648313623,0.6009303798030462,0.1238871835850328,-0.1872722958920994,0.5057723262610202,816.7399267399268,798.2051282051282,798.6080586080586,424.2857142857143,35.86080586080586,-0.265686,0.059082,0.932129,5.637512,-4.007568,-4.762726,1.0,2.0,1.0,1.0,4.0,65.0,,1732470212842,8502,3998
35,2024-11-24 12:43:33.341,0.779396943487292,0.0977121675280854,1.144709711371386,1.870220543009762,0.3565913280295037,0.230552914058139,0.7565875673751586,1.731964636338561,0.3199218696066731,0.2904034884855105,0.7523715925192258,1.42596387463475,0.5467511366308926,-0.0081795950941467,0.2363957000900511,1.00617648313623,0.6009303798030462,-0.1621349861769016,-0.3364769978705668,0.5057723262610202,705.5311355311355,806.2637362637363,804.2490842490843,909.81684981685,378.7545787545787,-0.173279,0.175415,0.849609,2.527161,-8.254395,-2.452393,1.0,2.0,1.0,1.0,4.0,65.0,,1732470213341,9001,4497
