unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1734813995228,3.164717,1.74246,-0.1432341,-0.9936622,0.1115122,0.01417321,0.003182888,0.005659461,-0.003294647,2.906561,1.33115,-0.2861123,-0.9619209,0.09282439,-0.2570843,0.01131892,-0.007733703,0.008511543,2.905828,1.326863,0.05572805,-0.9440136,0.04518903,0.3267975,0.005882978,-0.0003486872,-0.007621944,0
1734813995234,3.164717,1.74246,-0.1432341,-0.9936622,0.1115122,0.01417321,0,0,0,2.906561,1.33115,-0.2861123,-0.9619209,0.09282439,-0.2570843,0,0,0,2.905828,1.326863,0.05572805,-0.9440136,0.04518903,0.3267975,0,0,0,0
1734813995256,3.164999,1.742666,-0.1432293,-0.9934196,0.1138124,0.0128389,0.02120733,0.01545846,0.0003620982,2.907165,1.330527,-0.2853788,-0.9624367,0.09550141,-0.2541562,0.04532933,-0.04673302,0.05501211,2.90604,1.32707,0.05550346,-0.9451431,0.04370775,0.3237196,0.0159502,0.01552105,-0.01684427,0
1734813995262,3.164999,1.742666,-0.1432293,-0.9934196,0.1138124,0.0128389,0,0,0,2.907165,1.330527,-0.2853788,-0.9624367,0.09550141,-0.2541562,0,0,0,2.90604,1.32707,0.05550346,-0.9451431,0.04370775,0.3237196,0,0,0,0
1734813995284,3.165278,1.742811,-0.1431347,-0.9932329,0.1155406,0.01179904,0.02086759,0.01088977,0.007094443,2.907844,1.329291,-0.2849774,-0.9633075,0.09856939,-0.2496459,0.05094409,-0.09270608,0.03010109,2.906148,1.327526,0.05536577,-0.9458935,0.04290862,0.3216283,0.008100271,0.03417134,-0.0103265,0
1734813995290,3.165278,1.742811,-0.1431347,-0.9932329,0.1155406,0.01179904,0,0,0,2.907844,1.329291,-0.2849774,-0.9633075,0.09856939,-0.2496459,0,0,0,2.906148,1.327526,0.05536577,-0.9458935,0.04290862,0.3216283,0,0,0,0
1734813995312,3.165524,1.742925,-0.1430581,-0.9932314,0.115625,0.01106703,0.0184536,0.008529425,0.005744398,2.90774,1.328233,-0.2851951,-0.9650159,0.08778899,-0.2470589,-0.00783205,-0.07931292,-0.01632124,2.906158,1.328088,0.05544913,-0.94611,0.04286352,0.3209966,0.0007510185,0.04220903,0.006251782,0
1734813995318,3.165524,1.742925,-0.1430581,-0.9932314,0.115625,0.01106703,0,0,0,2.90774,1.328233,-0.2851951,-0.9650159,0.08778899,-0.2470589,0,0,0,2.906158,1.328088,0.05544913,-0.94611,0.04286352,0.3209966,0,0,0,0
1734813995340,3.165717,1.742865,-0.1429524,-0.993367,0.1145044,0.01053405,0.01450181,-0.004515052,0.007930398,2.907446,1.327429,-0.2851372,-0.9662926,0.08012757,-0.2446606,-0.02206564,-0.06033182,0.004340708,2.906491,1.329426,0.05574444,-0.946676,0.05056967,0.3181942,0.02494454,0.1003057,0.02214834,0
1734813995346,3.165717,1.742865,-0.1429524,-0.993367,0.1145044,0.01053405,0,0,0,2.907446,1.327429,-0.2851372,-0.9662926,0.08012757,-0.2446606,0,0,0,2.906491,1.329426,0.05574444,-0.946676,0.05056967,0.3181942,0,0,0,0
1734813995368,3.165793,1.742837,-0.1428319,-0.993373,0.1144019,0.01107591,0.005722046,-0.002110004,0.009039044,2.90733,1.327126,-0.2852835,-0.9659513,0.07958544,-0.2461797,-0.008708239,-0.02276301,-0.01097247,2.906194,1.329801,0.05610931,-0.9477358,0.04922646,0.3152357,-0.02224445,0.02817214,0.02736524,0
1734813995374,3.165793,1.742837,-0.1428319,-0.993373,0.1144019,0.01107591,0,0,0,2.90733,1.327126,-0.2852835,-0.9659513,0.07958544,-0.2461797,0,0,0,2.906194,1.329801,0.05610931,-0.9477358,0.04922646,0.3152357,0,0,0,0
1734813995396,3.16573,1.742882,-0.1426954,-0.99322,0.1154765,0.01340103,-0.004774332,0.003424287,0.01023263,2.907429,1.327443,-0.285226,-0.9651618,0.08432888,-0.2476929,0.007474422,0.02384484,0.004311651,2.905914,1.329989,0.05669519,-0.9469019,0.04650132,0.3181429,-0.02102852,0.01407266,0.04394129,0
1734813995402,3.16573,1.742882,-0.1426954,-0.99322,0.1154765,0.01340103,0,0,0,2.907429,1.327443,-0.285226,-0.9651618,0.08432888,-0.2476929,0,0,0,2.905914,1.329989,0.05669519,-0.9469019,0.04650132,0.3181429,0,0,0,0
1734813995408,3.16573,1.742882,-0.1426954,-0.99322,0.1154765,0.01340103,0,0,0,2.907429,1.327443,-0.285226,-0.9651618,0.08432888,-0.2476929,0,0,0,2.905914,1.329989,0.05669519,-0.9469019,0.04650132,0.3181429,0,0,0,0
1734813995424,3.165515,1.742789,-0.1426618,-0.9932903,0.114653,0.01515251,-0.01607537,-0.007000566,0.002525747,2.907177,1.327258,-0.2855565,-0.9660535,0.08329957,-0.2445449,-0.01891851,-0.01391172,-0.02478585,2.905739,1.330337,0.05729797,-0.9460096,0.04583691,0.3208818,-0.01312494,0.02610683,0.04520863,0
1734813995430,3.165515,1.742789,-0.1426618,-0.9932903,0.114653,0.01515251,0,0,0,2.907177,1.327258,-0.2855565,-0.9660535,0.08329957,-0.2445449,0,0,0,2.905739,1.330337,0.05729797,-0.9460096,0.04583691,0.3208818,0,0,0,0
1734813995451,3.16539,1.742626,-0.142668,-0.9934628,0.1128714,0.01709265,-0.009423494,-0.01218617,-0.0004693866,2.907082,1.327279,-0.2854919,-0.9659985,0.08313766,-0.2448173,-0.007098913,0.001546741,0.004843622,2.905909,1.330798,0.05722344,-0.9458157,0.05011012,0.3208146,0.0127852,0.03458261,-0.005590171,0
1734813995457,3.16539,1.742626,-0.142668,-0.9934628,0.1128714,0.01709265,0,0,0,2.907082,1.327279,-0.2854919,-0.9659985,0.08313766,-0.2448173,0,0,0,2.905909,1.330798,0.05722344,-0.9458157,0.05011012,0.3208146,0,0,0,0
1734813995477,3.165285,1.742522,-0.1426922,-0.9936455,0.1112898,0.01684058,-0.007849932,-0.007849932,-0.001814961,2.90689,1.327163,-0.2853329,-0.9662146,0.08479959,-0.2433904,-0.0144124,-0.008645654,0.01192465,2.905869,1.330917,0.05717736,-0.9476787,0.05117119,0.3150982,-0.003039837,0.008940697,-0.003455579,0
1734813995484,3.165285,1.742522,-0.1426922,-0.9936455,0.1112898,0.01684058,0,0,0,2.90689,1.327163,-0.2853329,-0.9662146,0.08479959,-0.2433904,0,0,0,2.905869,1.330917,0.05717736,-0.9476787,0.05117119,0.3150982,0,0,0,0
1734813995505,3.165217,1.742429,-0.1428596,-0.9937858,0.1100984,0.01638675,-0.005114079,-0.006973743,-0.01255274,2.906551,1.326778,-0.2849546,-0.967026,0.08882798,-0.2386856,-0.02540946,-0.02889633,0.02837107,2.905859,1.330842,0.05723026,-0.9479233,0.05106246,0.3143794,-0.0006973743,-0.005632639,0.003967434,0
1734813995511,3.165217,1.742429,-0.1428596,-0.9937858,0.1100984,0.01638675,0,0,0,2.906551,1.326778,-0.2849546,-0.967026,0.08882798,-0.2386856,0,0,0,2.905859,1.330842,0.05723026,-0.9479233,0.05106246,0.3143794,0,0,0,0
1734813995533,3.165225,1.742407,-0.1430142,-0.9938183,0.1099894,0.01509571,0.0005722046,-0.001609325,-0.01159608,2.906223,1.326762,-0.285199,-0.96892,0.08287353,-0.2330805,-0.02465844,-0.001180172,-0.01832843,2.905763,1.330912,0.05718163,-0.9478056,0.04981191,0.3149344,-0.007224083,0.005185604,-0.003647804,0
1734813995539,3.165225,1.742407,-0.1430142,-0.9938183,0.1099894,0.01509571,0,0,0,2.906223,1.326762,-0.285199,-0.96892,0.08287353,-0.2330805,0,0,0,2.905763,1.330912,0.05718163,-0.9478056,0.04981191,0.3149344,0,0,0,0
1734813995562,3.165184,1.742582,-0.1431562,-0.9936472,0.1116951,0.01377571,-0.003021955,0.01308918,-0.01064837,2.906242,1.327353,-0.2852863,-0.9695569,0.0804197,-0.2312845,0.001484156,0.04427433,-0.006551296,2.905289,1.330584,0.05731922,-0.9478155,0.04774557,0.315224,-0.03556609,-0.02455115,0.0103198,0
1734813995568,3.165184,1.742582,-0.1431562,-0.9936472,0.1116951,0.01377571,0,0,0,2.906242,1.327353,-0.2852863,-0.9695569,0.0804197,-0.2312845,0,0,0,2.905289,1.330584,0.05731922,-0.9478155,0.04774557,0.315224,0,0,0,0
1734813995590,3.16497,1.7429,-0.1433362,-0.993313,0.1146789,0.013358,-0.01607537,0.02387166,-0.01350492,2.906295,1.327512,-0.2850004,-0.9693028,0.0854298,-0.2305523,0.003969669,0.01198053,0.02144203,2.905174,1.330529,0.05725226,-0.9479799,0.04989915,0.3143957,-0.008636713,-0.004121661,-0.005022436,0
1734813995596,3.16497,1.7429,-0.1433362,-0.993313,0.1146789,0.013358,0,0,0,2.906295,1.327512,-0.2850004,-0.9693028,0.0854298,-0.2305523,0,0,0,2.905174,1.330529,0.05725226,-0.9479799,0.04989915,0.3143957,0,0,0,0
1734813995618,3.16485,1.742938,-0.1433597,-0.9932468,0.115255,0.01331991,-0.00897646,0.002807379,-0.001761317,2.90602,1.327235,-0.2849708,-0.9697478,0.08814684,-0.2276403,-0.02063513,-0.02081394,0.002219528,2.90502,1.330536,0.05705336,-0.9483965,0.05020391,0.3130876,-0.01156926,0.000500679,-0.01491755,0
1734813995624,3.16485,1.742938,-0.1433597,-0.9932468,0.115255,0.01331991,0,0,0,2.90602,1.327235,-0.2849708,-0.9697478,0.08814684,-0.2276403,0,0,0,2.90502,1.330536,0.05705336,-0.9483965,0.05020391,0.3130876,0,0,0,0
1734813995646,3.164727,1.742806,-0.1433583,-0.9933215,0.1145011,0.01422507,-0.009208918,-0.009888411,0.000102818,2.905713,1.327031,-0.2852238,-0.9699803,0.08770112,-0.2268205,-0.023067,-0.01527965,-0.01897439,2.904639,1.330194,0.05684221,-0.9487278,0.04929319,0.3122274,-0.0285387,-0.02562404,-0.01583621,0
1734813995652,3.164727,1.742806,-0.1433583,-0.9933215,0.1145011,0.01422507,0,0,0,2.905713,1.327031,-0.2852238,-0.9699803,0.08770112,-0.2268205,0,0,0,2.904639,1.330194,0.05684221,-0.9487278,0.04929319,0.3122274,0,0,0,0
1734813995673,3.164429,1.742812,-0.1434574,-0.9931857,0.1155243,0.01539248,-0.02236962,0.0004827976,-0.007429719,2.905003,1.326408,-0.2858633,-0.9706033,0.08260614,-0.2260662,-0.05321503,-0.04671514,-0.0479579,2.904115,1.329951,0.05646238,-0.9489889,0.04680836,0.3118162,-0.03926754,-0.01827478,-0.02848729,0
1734813995680,3.164429,1.742812,-0.1434574,-0.9931857,0.1155243,0.01539248,0,0,0,2.905003,1.326408,-0.2858633,-0.9706033,0.08260614,-0.2260662,0,0,0,2.904115,1.329951,0.05646238,-0.9489889,0.04680836,0.3118162,0,0,0,0
1734813995702,3.164064,1.74255,-0.1437166,-0.9932162,0.1152141,0.01574314,-0.02735853,-0.01965165,-0.01944155,2.905082,1.326264,-0.2857703,-0.970073,0.08639421,-0.226925,0.005954504,-0.01085401,0.006975979,2.903633,1.329728,0.05587721,-0.9493007,0.04547469,0.3110636,-0.03619194,-0.01665652,-0.04388765,0
1734813995708,3.164064,1.74255,-0.1437166,-0.9932162,0.1152141,0.01574314,0,0,0,2.905082,1.326264,-0.2857703,-0.970073,0.08639421,-0.226925,0,0,0,2.903633,1.329728,0.05587721,-0.9493007,0.04547469,0.3110636,0,0,0,0
1734813995729,3.163475,1.742485,-0.1441176,-0.993084,0.1163685,0.01558512,-0.04423857,-0.004908442,-0.03007203,2.904705,1.326001,-0.2861656,-0.970655,0.0868542,-0.2242445,-0.02834201,-0.01966059,-0.02965182,2.902972,1.329503,0.05461085,-0.9499745,0.04954157,0.3083737,-0.04956722,-0.01694262,-0.09497702,0
1734813995735,3.163475,1.742485,-0.1441176,-0.993084,0.1163685,0.01558512,0,0,0,2.904705,1.326001,-0.2861656,-0.970655,0.0868542,-0.2242445,0,0,0,2.902972,1.329503,0.05461085,-0.9499745,0.04954157,0.3083737,0,0,0,0
1734813995741,3.163475,1.742485,-0.1441176,-0.993084,0.1163685,0.01558512,0,0,0,2.904705,1.326001,-0.2861656,-0.970655,0.0868542,-0.2242445,0,0,0,2.902972,1.329503,0.05461085,-0.9499745,0.04954157,0.3083737,0,0,0,0
1734813995757,3.162534,1.742214,-0.1450343,-0.9931289,0.1159218,0.01605612,-0.07055998,-0.02031326,-0.06875396,2.90401,1.325564,-0.2869565,-0.9712759,0.08457486,-0.2224195,-0.0520885,-0.03278553,-0.05931482,2.902275,1.329323,0.0537774,-0.9505162,0.05331866,0.3060665,-0.05226731,-0.01346469,-0.06250888,0
1734813995763,3.162534,1.742214,-0.1450343,-0.9931289,0.1159218,0.01605612,0,0,0,2.90401,1.325564,-0.2869565,-0.9712759,0.08457486,-0.2224195,0,0,0,2.902275,1.329323,0.0537774,-0.9505162,0.05331866,0.3060665,0,0,0,0
1734813995785,3.161953,1.741938,-0.14565,-0.9932545,0.1148907,0.01568604,-0.04357696,-0.02072453,-0.04617423,2.903398,1.325159,-0.2874326,-0.9717611,0.08267787,-0.2210097,-0.04591942,-0.03041625,-0.03571138,2.901778,1.329073,0.05335334,-0.9503275,0.05087593,0.3070663,-0.03726482,-0.01873076,-0.03180429,0
1734813995791,3.161953,1.741938,-0.14565,-0.9932545,0.1148907,0.01568604,0,0,0,2.903398,1.325159,-0.2874326,-0.9717611,0.08267787,-0.2210097,0,0,0,2.901778,1.329073,0.05335334,-0.9503275,0.05087593,0.3070663,0,0,0,0
1734813995811,3.161361,1.741537,-0.1463913,-0.99353,0.1125982,0.0148316,-0.04438162,-0.03001392,-0.05560219,2.902846,1.324748,-0.2876234,-0.972654,0.0817821,-0.2173856,-0.04137754,-0.03078282,-0.01430735,2.900906,1.328575,0.05204403,-0.9497911,0.04812101,0.3091626,-0.0654459,-0.03738999,-0.09819791,0
1734813995816,3.161361,1.741537,-0.1463913,-0.99353,0.1125982,0.0148316,0,0,0,2.902846,1.324748,-0.2876234,-0.972654,0.0817821,-0.2173856,0,0,0,2.900906,1.328575,0.05204403,-0.9497911,0.04812101,0.3091626,0,0,0,0
1734813995838,3.160624,1.741227,-0.1472163,-0.9936252,0.1117474,0.01489103,-0.05528927,-0.02328157,-0.06186962,2.902275,1.324596,-0.2883654,-0.9726772,0.08685438,-0.2153034,-0.04282594,-0.01140833,-0.05565137,2.900593,1.328486,0.05051339,-0.9507247,0.04907583,0.3061282,-0.02346039,-0.006642938,-0.1147985,0
1734813995844,3.160624,1.741227,-0.1472163,-0.9936252,0.1117474,0.01489103,0,0,0,2.902275,1.324596,-0.2883654,-0.9726772,0.08685438,-0.2153034,0,0,0,2.900593,1.328486,0.05051339,-0.9507247,0.04907583,0.3061282,0,0,0,0
