unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z
1728765908771,4.140996,1.55363,-0.005379677,-0.9971427,0.06566204,0.03735286,-0.002646446,0.001600385,0.005328655,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908776,4.140996,1.55363,-0.005379677,-0.9971427,0.06566204,0.03735286,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908779,4.140996,1.55363,-0.005379677,-0.9971427,0.06566204,0.03735286,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908811,4.140951,1.553583,-0.005643249,-0.9970934,0.06613032,0.03783983,-0.003361702,-0.003522635,-0.01976788,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908816,4.140951,1.553583,-0.005643249,-0.9970934,0.06613032,0.03783983,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908819,4.140951,1.553583,-0.005643249,-0.9970934,0.06613032,0.03783983,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908852,4.140848,1.553484,-0.005925059,-0.9970703,0.06572822,0.03912967,-0.007724762,-0.007411838,-0.02113581,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908856,4.140848,1.553484,-0.005925059,-0.9970703,0.06572822,0.03912967,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908860,4.140848,1.553484,-0.005925059,-0.9970703,0.06572822,0.03912967,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765908893,4.140752,1.553479,-0.006168127,-0.9969952,0.06618508,0.04025656,-0.007224083,-0.0003576279,-0.01823008,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
