unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z
1728509834612,1.831511,1.626893,-0.3353551,-0.978762,0.2003263,0.04352725,-0.002333522,-0.005605817,-0.01261085,1.750451,1.07298,-0.1339574,-0.3493769,-0.9186165,-0.1846068,0.1871824,-0.3353387,-0.5684361,1.573251,1.028713,0.3042092,0.2265085,-0.7371975,-0.63658,0.2619803,-0.4820287,0.08792281
1728509834620,1.831511,1.626893,-0.3353551,-0.978762,0.2003263,0.04352725,0,0,0,1.750451,1.07298,-0.1339574,-0.3493769,-0.9186165,-0.1846068,0,0,0,1.573251,1.028713,0.3042092,0.2265085,-0.7371975,-0.63658,0,0,0
1728509834626,1.831511,1.626893,-0.3353551,-0.978762,0.2003263,0.04352725,0,0,0,1.750451,1.07298,-0.1339574,-0.3493769,-0.9186165,-0.1846068,0,0,0,1.573251,1.028713,0.3042092,0.2265085,-0.7371975,-0.63658,0,0,0
1728509834653,1.830415,1.626885,-0.3386257,-0.9790692,0.1989272,0.04303128,-0.08222759,-0.0006169081,-0.245297,1.771589,1.053035,-0.1632877,-0.3865592,-0.9077774,-0.1628274,1.585329,-1.495859,-2.199774,1.58276,0.9979111,0.3142355,0.192596,-0.7679615,-0.6108539,0.7132351,-2.310151,0.7519707
1728509834660,1.830415,1.626885,-0.3386257,-0.9790692,0.1989272,0.04303128,0,0,0,1.771589,1.053035,-0.1632877,-0.3865592,-0.9077774,-0.1628274,0,0,0,1.58276,0.9979111,0.3142355,0.192596,-0.7679615,-0.6108539,0,0,0
1728509834667,1.830415,1.626885,-0.3386257,-0.9790692,0.1989272,0.04303128,0,0,0,1.771589,1.053035,-0.1632877,-0.3865592,-0.9077774,-0.1628274,0,0,0,1.58276,0.9979111,0.3142355,0.192596,-0.7679615,-0.6108539,0,0,0
1728509834695,1.829323,1.626858,-0.3420491,-0.9791447,0.1983474,0.04398167,-0.08188784,-0.002029538,-0.2567522,1.795743,1.025884,-0.200496,-0.3169138,-0.9133792,-0.2555478,1.811555,-2.036351,-2.790619,1.603555,0.9686999,0.3145585,0.334482,-0.7701466,-0.5431355,1.559633,-2.190837,0.02422482
1728509834702,1.829323,1.626858,-0.3420491,-0.9791447,0.1983474,0.04398167,0,0,0,1.795743,1.025884,-0.200496,-0.3169138,-0.9133792,-0.2555478,0,0,0,1.603555,0.9686999,0.3145585,0.334482,-0.7701466,-0.5431355,0,0,0
1728509834709,1.829323,1.626858,-0.3420491,-0.9791447,0.1983474,0.04398167,0,0,0,1.795743,1.025884,-0.200496,-0.3169138,-0.9133792,-0.2555478,0,0,0,1.603555,0.9686999,0.3145585,0.334482,-0.7701466,-0.5431355,0,0,0
1728509834737,1.828082,1.626923,-0.345663,-0.979238,0.1973324,0.04640323,-0.09307265,0.004935265,-0.2710484,1.82134,0.9989717,-0.2492757,-0.1977046,-0.8722673,-0.4472842,1.919818,-2.018425,-3.658477,1.620736,0.9467599,0.3099172,0.4541435,-0.7121823,-0.5353044,1.288524,-1.645504,-0.3480971
1728509834744,1.828082,1.626923,-0.345663,-0.979238,0.1973324,0.04640323,0,0,0,1.82134,0.9989717,-0.2492757,-0.1977046,-0.8722673,-0.4472842,0,0,0,1.620736,0.9467599,0.3099172,0.4541435,-0.7121823,-0.5353044,0,0,0
1728509834751,1.828082,1.626923,-0.345663,-0.979238,0.1973324,0.04640323,0,0,0,1.82134,0.9989717,-0.2492757,-0.1977046,-0.8722673,-0.4472842,0,0,0,1.620736,0.9467599,0.3099172,0.4541435,-0.7121823,-0.5353044,0,0,0
1728509834779,1.826824,1.626656,-0.3494703,-0.9796223,0.1949385,0.04836947,-0.09432435,-0.02006292,-0.2855413,1.847646,0.9808839,-0.3080052,-0.05890813,-0.7620848,-0.6447922,1.972917,-1.356585,-4.404715,1.632613,0.9322903,0.305867,0.464397,-0.7501976,-0.4706798,0.8908242,-1.085217,-0.3037646
1728509834786,1.826824,1.626656,-0.3494703,-0.9796223,0.1949385,0.04836947,0,0,0,1.847646,0.9808839,-0.3080052,-0.05890813,-0.7620848,-0.6447922,0,0,0,1.632613,0.9322903,0.305867,0.464397,-0.7501976,-0.4706798,0,0,0
1728509834793,1.826824,1.626656,-0.3494703,-0.9796223,0.1949385,0.04836947,0,0,0,1.847646,0.9808839,-0.3080052,-0.05890813,-0.7620848,-0.6447922,0,0,0,1.632613,0.9322903,0.305867,0.464397,-0.7501976,-0.4706798,0,0,0
1728509834799,1.826824,1.626656,-0.3494703,-0.9796223,0.1949385,0.04836947,0,0,0,1.847646,0.9808839,-0.3080052,-0.05890813,-0.7620848,-0.6447922,0,0,0,1.632613,0.9322903,0.305867,0.464397,-0.7501976,-0.4706798,0,0,0
1728509834820,1.825953,1.626538,-0.3534408,-0.9805806,0.1903137,0.0473572,-0.06531179,-0.008869171,-0.29779,1.869813,0.9716336,-0.368526,0.049984,-0.5862509,-0.8085866,1.66254,-0.6937712,-4.539064,1.645604,0.9184077,0.3037058,0.4649603,-0.6764408,-0.5711746,0.9742856,-1.041198,-0.1620948
1728509834827,1.825953,1.626538,-0.3534408,-0.9805806,0.1903137,0.0473572,0,0,0,1.869813,0.9716336,-0.368526,0.049984,-0.5862509,-0.8085866,0,0,0,1.645604,0.9184077,0.3037058,0.4649603,-0.6764408,-0.5711746,0,0,0
1728509834834,1.825953,1.626538,-0.3534408,-0.9805806,0.1903137,0.0473572,0,0,0,1.869813,0.9716336,-0.368526,0.049984,-0.5862509,-0.8085866,0,0,0,1.645604,0.9184077,0.3037058,0.4649603,-0.6764408,-0.5711746,0,0,0
1728509834861,1.825122,1.626479,-0.3574893,-0.9813604,0.1869345,0.0445829,-0.06233454,-0.004416704,-0.3036372,1.890072,0.968917,-0.4225972,0.1258811,-0.4719187,-0.8726095,1.519418,-0.2037495,-4.055337,1.653475,0.9140544,0.29353,0.4425737,-0.6512294,-0.6164651,0.5903095,-0.3264964,-0.7631823
1728509834868,1.825122,1.626479,-0.3574893,-0.9813604,0.1869345,0.0445829,0,0,0,1.890072,0.968917,-0.4225972,0.1258811,-0.4719187,-0.8726095,0,0,0,1.653475,0.9140544,0.29353,0.4425737,-0.6512294,-0.6164651,0,0,0
1728509834874,1.825122,1.626479,-0.3574893,-0.9813604,0.1869345,0.0445829,0,0,0,1.890072,0.968917,-0.4225972,0.1258811,-0.4719187,-0.8726095,0,0,0,1.653475,0.9140544,0.29353,0.4425737,-0.6512294,-0.6164651,0,0,0
1728509834903,1.824306,1.626354,-0.361681,-0.9815159,0.1870198,0.04062659,-0.06119907,-0.009316206,-0.3143795,1.906524,0.9709183,-0.4703869,0.2126651,-0.3542011,-0.9106681,1.233888,0.1501009,-3.584227,1.663978,0.9121953,0.282838,0.5157251,-0.5865698,-0.6244712,0.787729,-0.1394346,-0.8019
1728509834910,1.824306,1.626354,-0.361681,-0.9815159,0.1870198,0.04062659,0,0,0,1.906524,0.9709183,-0.4703869,0.2126651,-0.3542011,-0.9106681,0,0,0,1.663978,0.9121953,0.282838,0.5157251,-0.5865698,-0.6244712,0,0,0
1728509834917,1.824306,1.626354,-0.361681,-0.9815159,0.1870198,0.04062659,0,0,0,1.906524,0.9709183,-0.4703869,0.2126651,-0.3542011,-0.9106681,0,0,0,1.663978,0.9121953,0.282838,0.5157251,-0.5865698,-0.6244712,0,0,0
1728509834945,1.823537,1.625826,-0.3659835,-0.9822152,0.1844056,0.03532666,-0.05770326,-0.03960729,-0.3226832,1.916888,0.9707949,-0.5013642,0.1413635,-0.4653473,-0.8737675,0.7773399,-0.009253621,-2.3233,1.669831,0.9114186,0.275551,0.5771532,-0.583306,-0.5715322,0.4389793,-0.05825311,-0.5465269
1728509834952,1.823537,1.625826,-0.3659835,-0.9822152,0.1844056,0.03532666,0,0,0,1.916888,0.9707949,-0.5013642,0.1413635,-0.4653473,-0.8737675,0,0,0,1.669831,0.9114186,0.275551,0.5771532,-0.583306,-0.5715322,0,0,0
1728509834959,1.823537,1.625826,-0.3659835,-0.9822152,0.1844056,0.03532666,0,0,0,1.916888,0.9707949,-0.5013642,0.1413635,-0.4653473,-0.8737675,0,0,0,1.669831,0.9114186,0.275551,0.5771532,-0.583306,-0.5715322,0,0,0
1728509834986,1.822803,1.62492,-0.3701489,-0.9833114,0.1794043,0.03021914,-0.05502999,-0.06801188,-0.3124103,1.923034,0.9695984,-0.5296757,0.1179821,-0.6100855,-0.7835028,0.4609466,-0.08973777,-2.123362,1.669356,0.9166868,0.2659184,0.5541623,-0.5718728,-0.6048687,-0.03562868,0.3951162,-0.7224441
1728509834994,1.822803,1.62492,-0.3701489,-0.9833114,0.1794043,0.03021914,0,0,0,1.923034,0.9695984,-0.5296757,0.1179821,-0.6100855,-0.7835028,0,0,0,1.669356,0.9166868,0.2659184,0.5541623,-0.5718728,-0.6048687,0,0,0
1728509835001,1.822803,1.62492,-0.3701489,-0.9833114,0.1794043,0.03021914,0,0,0,1.923034,0.9695984,-0.5296757,0.1179821,-0.6100855,-0.7835028,0,0,0,1.669356,0.9166868,0.2659184,0.5541623,-0.5718728,-0.6048687,0,0,0
1728509835028,1.822116,1.624463,-0.3740262,-0.9842793,0.174759,0.02556682,-0.051561,-0.03426075,-0.2907984,1.925718,0.9685636,-0.5567516,0.08344637,-0.7369828,-0.6707413,0.2012551,-0.07761419,-2.030691,1.664601,0.9171953,0.2612187,0.5078627,-0.5857146,-0.6316757,-0.3566176,0.03813654,-0.3524736
1728509835035,1.822116,1.624463,-0.3740262,-0.9842793,0.174759,0.02556682,0,0,0,1.925718,0.9685636,-0.5567516,0.08344637,-0.7369828,-0.6707413,0,0,0,1.664601,0.9171953,0.2612187,0.5078627,-0.5857146,-0.6316757,0,0,0
1728509835041,1.822116,1.624463,-0.3740262,-0.9842793,0.174759,0.02556682,0,0,0,1.925718,0.9685636,-0.5567516,0.08344637,-0.7369828,-0.6707413,0,0,0,1.664601,0.9171953,0.2612187,0.5078627,-0.5857146,-0.6316757,0,0,0
1728509835069,1.821704,1.624128,-0.3776069,-0.9849877,0.1712641,0.02163792,-0.03087223,-0.02510548,-0.2685472,1.925089,0.9681953,-0.5861144,0.0319038,-0.8173797,-0.5752158,-0.04717112,-0.02762228,-2.20221,1.663262,0.9160729,0.2572351,0.4667582,-0.5772966,-0.6699747,-0.1003772,-0.08417666,-0.2987757
1728509835078,1.821704,1.624128,-0.3776069,-0.9849877,0.1712641,0.02163792,0,0,0,1.925089,0.9681953,-0.5861144,0.0319038,-0.8173797,-0.5752158,0,0,0,1.663262,0.9160729,0.2572351,0.4667582,-0.5772966,-0.6699747,0,0,0
1728509835085,1.821704,1.624128,-0.3776069,-0.9849877,0.1712641,0.02163792,0,0,0,1.925089,0.9681953,-0.5861144,0.0319038,-0.8173797,-0.5752158,0,0,0,1.663262,0.9160729,0.2572351,0.4667582,-0.5772966,-0.6699747,0,0,0
1728509835111,1.821324,1.623784,-0.3811355,-0.9854317,0.1689304,0.01967907,-0.02848506,-0.02581179,-0.2646446,1.921087,0.9663789,-0.6091209,-0.008914303,-0.8531966,-0.5215138,-0.3001124,-0.1362249,-1.725487,1.663162,0.9151654,0.2537872,0.4567852,-0.5933628,-0.6627729,-0.007501245,-0.06806105,-0.2585873
1728509835119,1.821324,1.623784,-0.3811355,-0.9854317,0.1689304,0.01967907,0,0,0,1.921087,0.9663789,-0.6091209,-0.008914303,-0.8531966,-0.5215138,0,0,0,1.663162,0.9151654,0.2537872,0.4567852,-0.5933628,-0.6627729,0,0,0
1728509835126,1.821324,1.623784,-0.3811355,-0.9854317,0.1689304,0.01967907,0,0,0,1.921087,0.9663789,-0.6091209,-0.008914303,-0.8531966,-0.5215138,0,0,0,1.663162,0.9151654,0.2537872,0.4567852,-0.5933628,-0.6627729,0,0,0
1728509835132,1.821324,1.623784,-0.3811355,-0.9854317,0.1689304,0.01967907,0,0,0,1.921087,0.9663789,-0.6091209,-0.008914303,-0.8531966,-0.5215138,0,0,0,1.663162,0.9151654,0.2537872,0.4567852,-0.5933628,-0.6627729,0,0,0
1728509835151,1.820911,1.623427,-0.3846043,-0.9856561,0.1677762,0.01826578,-0.03098845,-0.02676845,-0.2601609,1.909726,0.9594619,-0.6056368,-0.03254386,-0.8588234,-0.5112377,-0.852102,-0.5187795,0.2613097,1.662359,0.9136637,0.2529072,0.4575143,-0.5841146,-0.6704412,-0.06022453,-0.112626,-0.06600469
1728509835159,1.820911,1.623427,-0.3846043,-0.9856561,0.1677762,0.01826578,0,0,0,1.909726,0.9594619,-0.6056368,-0.03254386,-0.8588234,-0.5112377,0,0,0,1.662359,0.9136637,0.2529072,0.4575143,-0.5841146,-0.6704412,0,0,0
1728509835166,1.820911,1.623427,-0.3846043,-0.9856561,0.1677762,0.01826578,0,0,0,1.909726,0.9594619,-0.6056368,-0.03254386,-0.8588234,-0.5112377,0,0,0,1.662359,0.9136637,0.2529072,0.4575143,-0.5841146,-0.6704412,0,0,0
1728509835193,1.820512,1.622809,-0.3882195,-0.985454,0.1688902,0.01889384,-0.02994239,-0.04634857,-0.2711445,1.901124,0.9579512,-0.611008,-0.04606209,-0.843062,-0.5358412,-0.6451875,-0.1132965,-0.402841,1.664919,0.9141835,0.2484955,0.4412798,-0.573486,-0.6902077,0.1919925,0.03898144,-0.3308773
1728509835200,1.820512,1.622809,-0.3882195,-0.985454,0.1688902,0.01889384,0,0,0,1.901124,0.9579512,-0.611008,-0.04606209,-0.843062,-0.5358412,0,0,0,1.664919,0.9141835,0.2484955,0.4412798,-0.573486,-0.6902077,0,0,0
1728509835206,1.820512,1.622809,-0.3882195,-0.985454,0.1688902,0.01889384,0,0,0,1.901124,0.9579512,-0.611008,-0.04606209,-0.843062,-0.5358412,0,0,0,1.664919,0.9141835,0.2484955,0.4412798,-0.573486,-0.6902077,0,0,0
