unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1732121318744,4.785082,1.767382,-0.4665656,-0.9854611,0.1692035,0.01539963,-0.006008148,-0.008046627,-0.01945496,4.62599,1.344697,-0.540808,-0.8973117,0.4141496,-0.1526834,-0.01255274,-0.003245473,-0.02127886,4.618011,1.374818,-0.4146979,-0.9257762,0.3363786,-0.1725926,-0.008869171,-0.003388524,-0.0182569,0
1732121318750,4.785082,1.767382,-0.4665656,-0.9854611,0.1692035,0.01539963,0,0,0,4.62599,1.344697,-0.540808,-0.8973117,0.4141496,-0.1526834,0,0,0,4.618011,1.374818,-0.4146979,-0.9257762,0.3363786,-0.1725926,0,0,0,0
1732121318754,4.785082,1.767382,-0.4665656,-0.9854611,0.1692035,0.01539963,0,0,0,4.62599,1.344697,-0.540808,-0.8973117,0.4141496,-0.1526834,0,0,0,4.618011,1.374818,-0.4146979,-0.9257762,0.3363786,-0.1725926,0,0,0,0
1732121318772,4.7846,1.767274,-0.4673657,-0.9856363,0.1681418,0.01579565,-0.03615618,-0.008100271,-0.06000996,4.625826,1.344429,-0.5415163,-0.897531,0.4141746,-0.1513201,-0.0123024,-0.02010763,-0.05312562,4.617715,1.374502,-0.4153664,-0.9264265,0.3353776,-0.1710447,-0.02217293,-0.02374649,-0.05013943,0
1732121318777,4.7846,1.767274,-0.4673657,-0.9856363,0.1681418,0.01579565,0,0,0,4.625826,1.344429,-0.5415163,-0.897531,0.4141746,-0.1513201,0,0,0,4.617715,1.374502,-0.4153664,-0.9264265,0.3353776,-0.1710447,0,0,0,0
1732121318799,4.784005,1.767123,-0.4682195,-0.9857655,0.1673753,0.01588035,-0.04466772,-0.01132786,-0.06403327,4.625571,1.344225,-0.5424664,-0.8978159,0.4139624,-0.1502069,-0.01909733,-0.01530647,-0.07125735,4.617427,1.374299,-0.4162107,-0.9269596,0.334547,-0.1697778,-0.02156496,-0.01520813,-0.06331801,0
1732121318805,4.784005,1.767123,-0.4682195,-0.9857655,0.1673753,0.01588035,0,0,0,4.625571,1.344225,-0.5424664,-0.8978159,0.4139624,-0.1502069,0,0,0,4.617427,1.374299,-0.4162107,-0.9269596,0.334547,-0.1697778,0,0,0,0
1732121318826,4.78336,1.766973,-0.4692218,-0.9858716,0.1666819,0.01657444,-0.04838705,-0.01125634,-0.07517338,4.625204,1.344039,-0.5439255,-0.898424,0.4126797,-0.1501,-0.02753735,-0.01396537,-0.1094341,4.617211,1.374195,-0.4172382,-0.9272569,0.334402,-0.1684349,-0.01620054,-0.007787347,-0.07706881,0
1732121318831,4.78336,1.766973,-0.4692218,-0.9858716,0.1666819,0.01657444,0,0,0,4.625204,1.344039,-0.5439255,-0.898424,0.4126797,-0.1501,0,0,0,4.617211,1.374195,-0.4172382,-0.9272569,0.334402,-0.1684349,0,0,0,0
1732121318854,4.782516,1.766796,-0.4703615,-0.9858859,0.1664213,0.01826042,-0.06326437,-0.01333058,-0.08547306,4.624778,1.343679,-0.5457757,-0.8987318,0.4118825,-0.1504467,-0.03193617,-0.02693832,-0.1387596,4.616955,1.373938,-0.4186962,-0.9274554,0.3341715,-0.1677978,-0.01924038,-0.01927614,-0.1093447,0
